,id,name,region
389,6155c91a143c37878b2382c2,BEASTIN OUT,OCE
390,61dc0fe0c437fde7e02cb9da,Badonkadank,OCE
391,60ceea8788116f536df972cc,Bandits ESC,OCE
392,604e562301d675f81a96aea6,Big GOOSE,OCE
393,616174ed143c37878b2388ca,Bougee's Angels,OCE
394,61dc0fcec437fde7e02cb9d8,Brainstorm Oceania,OCE
395,615c06c0143c37878b23856a,Bros On Their Toes,OCE
396,60af6ba82bf963fcf08ef7f1,Clarity Esports,OCE
397,61741b16143c37878b23a740,Collateral eSports,OCE
398,618947bcf8090ec74528b8d4,Corn Titans,OCE
399,61f857ccc437fde7e02cec41,Da Babies,OCE
400,617956c3f8090ec74528962c,Deft,OCE
401,6020bc8ef1e4807cc7003915,Dire Wolves,OCE
402,60fd886f9d3c410761e88b8a,Eclipse Esports,OCE
403,6167e10c143c37878b238ef7,Fire Breathing Rubber Duckies,OCE
404,615ffec8143c37878b23868f,Forkidden,OCE
405,618947c7143c37878b23cdeb,Gaming United Esports Club Academy White,OCE
406,6020bc8ef1e4807cc700391a,Ground Zero Gaming,OCE
407,616174d5f8090ec745287192,HMS Endeavor,OCE
408,61d81154da9d7ca1c7ba3b0f,IDK,OCE
409,61dc0fbfc437fde7e02cb9d6,Illuvium,OCE
410,61ee7c0dda9d7ca1c7ba5eb8,Jolly Squad,OCE
411,604e55b701d675f81a969130,JoshOC,OCE
412,620a44a8c437fde7e02cff1d,Just Go For It,OCE
413,61434b89f8090ec745285e81,Lost In the Sauce,OCE
414,61ee7be3da9d7ca1c7ba5eb5,Motorollin,OCE
415,60c1e2879fc1a47e5f1116c8,Panik Gaming,OCE
416,61ee7bcbda9d7ca1c7ba5eb2,Physicists,OCE
417,61f91911da9d7ca1c7ba75c6,Punjabi Power,OCE
418,6020bec4f1e4807cc70163fc,R!OT Gaming,OCE
419,60ffd7dc9d3c410761e88c74,Rancid Rats Reborn,OCE
420,614c8930f8090ec745286474,Ranga Roundup,OCE
421,617a9839143c37878b23b091,Red Crown Esports,OCE
422,6020bc70f1e4807cc70023fb,Renegades,OCE
423,616174e2143c37878b2388c9,Rust-eze,OCE
424,61ee7bdbda9d7ca1c7ba5eb4,Serenity,OCE
425,6155c911143c37878b2382c1,Smasha5000,OCE
426,6162cac9143c37878b238ab1,Team Bliss,OCE
427,6091ad1bd50a7d046663343d,Team Eros,OCE
428,61ee7bf6da9d7ca1c7ba5eb6,TeamForward,OCE
429,61ee7bd4da9d7ca1c7ba5eb3,The CEOs,OCE
430,615c068f143c37878b238569,The Grogans,OCE
431,620f4b0dc437fde7e02d0274,The Kibbles,OCE
432,61cc5462da9d7ca1c7ba3a3a,The Sussmen,OCE
433,6129f47987f814e9fb00020c,Tisi,OCE
434,6156d4db143c37878b238367,Trident Esports,OCE
435,6020c1fbf1e4807cc7026852,Vort Central,OCE
436,6020c3a2f1e4807cc70312c5,Wazooo,OCE
437,615332c4143c37878b237fa6,Wildcard Gaming,OCE
438,612c8bf39d3c410761e8a9a1,Zinger Box Bandits,OCE
439,61dc0fd8c437fde7e02cb9d9,bros on bros,OCE
440,615580e2f8090ec745286b17,joE,OCE
441,61dc0fb3c437fde7e02cb9d5,shojulli,OCE
442,60705c413960ddb316ab853c,"Ainda, cria",SAM
443,61e55ba9c437fde7e02ccab2,Allium,SAM
444,61950b29143c37878b23e2ce,Ankor Gaming,SAM
445,621c933cda9d7ca1c7ba92fc,Anota a Placa,SAM
446,6020bda0f1e4807cc700e0da,Atypical,SAM
447,61f85737da9d7ca1c7ba70fa,Avarice,SAM
448,61801239143c37878b23bdb3,Ballistic,SAM
449,61950b30143c37878b23e2cf,Benz Truck,SAM
450,6020bda0f1e4807cc700e066,Chromax,SAM
451,61e55b94c437fde7e02ccab0,Cosmic Wolf,SAM
452,6020c1bcf1e4807cc702582e,Dracon Esports,SAM
453,6126727a9d3c410761e8a74a,Dream Conspiracy,SAM
454,6165d28ef8090ec7452876f4,Elevate,SAM
455,616d8bb3f8090ec745288327,Emit7,SAM
456,6173268ef8090ec745288bdf,EndGame,SAM
457,61801241143c37878b23bdb4,Endlxss Team,SAM
458,6020bc70f1e4807cc70023d6,FTW Esports,SAM
459,6065dbab45122f213019c81f,FURIA Esports,SAM
460,6180125a143c37878b23bdb5,Flip FC,SAM
461,61801260143c37878b23bdb6,Freedom,SAM
462,61f904b6da9d7ca1c7ba7307,Garibaldo de bilutetéia,SAM
463,61864548143c37878b23c560,Guidance Gaming,SAM
464,6020c682f1e4807cc7044ec8,InControl Nation,SAM
465,613cfef4143c37878b23724d,Insight,SAM
466,6169f5ba143c37878b23960b,KRÜ Esports,SAM
467,61e55b4dc437fde7e02ccaab,LeaveNoWitness,SAM
468,6020be9ef1e4807cc701544d,Legacy,SAM
469,617fe48f143c37878b23bae9,Leviatán Esports,SAM
470,6020bda0f1e4807cc700e070,Locusts,SAM
471,61e55b57c437fde7e02ccaac,Los Malvekes,SAM
472,60500eef097037e8dbbe9978,Naiz Esports,SAM
473,615ffe0e143c37878b23868e,Neoxy Team,SAM
474,616d8bc3f8090ec745288328,Nice Try!,SAM
475,6020bd05f1e4807cc7008599,Noble esports,SAM
476,6020c204f1e4807cc7026b92,Nocturns Gaming,SAM
477,6020c5d3f1e4807cc704066d,Novus Aevi,SAM
478,60500ef0097037e8dbbe998c,Papo de Visão,SAM
479,616d8bcef8090ec745288329,Paradise,SAM
480,616d8bd5f8090ec74528832a,Qshaws,SAM
481,60bb5046bd0db240d7a31fa7,RED,SAM
